Tanggal,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2/1/2018,11750,10650,10300,11850,11700,13050,12600,34800,34800,114200,117650,110600,26650,26650,26300,26300,24100,24100,38700,38250,38200,44350,39900,48800,13800,11950,14950,14300,14250,16200,12650
3/1/2018,11750,10650,10350,11850,11700,13050,12600,34750,34750,113650,117250,109400,26450,26450,26300,26300,24150,24150,38950,38450,38550,45000,41000,48550,13850,12000,14950,14300,14250,16150,12650
4/1/2018,11750,10700,10350,11900,11750,13100,12600,34400,34400,114250,117750,110500,26200,26200,26300,26300,24250,24250,38600,37950,38450,45550,41400,49550,13850,12000,14950,14300,14250,16150,12650
5/1/2018,11800,10700,10350,11900,11750,13100,12600,34550,34550,114250,117750,110500,26150,26150,26350,26350,24150,24150,38450,37800,38250,45500,41700,49350,13800,12000,14950,14300,14250,16150,12650
8/1/2018,11800,10750,10350,11950,11800,13150,12650,34700,34700,114150,117700,110300,26000,26000,26550,26550,24250,24250,38500,38350,37900,44650,41300,47900,13800,12000,14950,14250,14250,16100,12650
9/1/2018,11850,10750,10400,11950,11800,13150,12650,34950,34950,114150,117750,110450,25900,25900,26400,26400,24200,24200,38800,38750,38150,44650,41300,48200,13800,11950,14950,14250,14200,16100,12650
10/1/2018,11850,10800,10400,12000,11800,13150,12700,35150,35150,113550,117150,110300,25800,25800,26400,26400,24200,24200,38750,38750,38150,44250,40750,47900,13800,11950,14950,14250,14200,16100,12650
11/1/2018,11900,10800,10500,12050,11850,13200,12700,35150,35150,113900,117400,110300,25750,25750,26350,26350,24250,24250,39000,38850,38550,44200,40600,47850,13800,11950,14950,14250,14250,16150,12650
12/1/2018,11950,10850,10450,12050,11900,13250,12800,35100,35100,113500,117000,109900,25700,25700,26250,26250,24300,24300,39150,39350,38450,44200,40450,48050,13800,11950,15000,14250,14200,16100,12650
15/01/2018,11950,10900,10500,12100,11950,13250,12800,34700,34700,113800,117250,110050,25350,25350,26150,26150,24200,24200,40150,40650,39250,44250,41050,47650,13800,11950,15000,14250,14200,16100,12650
